idx,pathway_name,pathway_id,gene_name,gene_id,protein_id
1,Terpenoid backbone biosynthesis,syn00900,sds,slr0611,P72580
1,NA,NA,slr0612,slr0612,P72581
1,NA,NA,slr0613,slr0613,P72582
1,NA,NA,sll0558,sll0558,P72583
1,Porphyrin and chlorophyll metabolism,syn00860,sll1214,sll1214,P72584
1,Fructose and mannose metabolism,syn00051,sll1213,sll1213,P72585
1,Fructose and mannose metabolism,syn00051,rfbD,sll1212,P72586
1,Photosynthesis,syn00195,psbA2,slr1311,P16033
1,Arginine and proline metabolism,syn00330,speA,slr1312,P72587
1,DNA replication,syn03030,lig,sll1209,P72588
2,NA,NA,slr1315,slr1315,P72589
2,NA,NA,fecC,slr1316,P72590
2,NA,NA,fecD,slr1317,P72591
2,NA,NA,fecE,slr1318,P72592
2,NA,NA,fecB,slr1319,P72593
2,NA,NA,iutA,sll1206,P72594
2,NA,NA,pchR,sll1205,P72595
2,NA,NA,sll1204,sll1204,P72596
2,NA,NA,sll1203,sll1203,P72597
2,NA,NA,sll1202,sll1202,P72598
3,NA,NA,fhuA,sll1409,P72599
3,NA,NA,pcrR,sll1408,P72600
3,NA,NA,sll1407,sll1407,P72601
3,NA,NA,fhuA,sll1406,P72602
3,NA,NA,sll1405,sll1405,P72603
3,NA,NA,exbB,sll1404,P72604
3,NA,NA,slr1484,slr1484,P72605
3,NA,NA,slr1485,slr1485,P72606
3,NA,NA,slr1488,slr1488,P72607
3,NA,NA,pchR,slr1489,P72608
4,NA,NA,fhuA,slr1490,P72609
4,NA,NA,fecB,slr1491,P72610
4,NA,NA,fecB,slr1492,P72611
4,NA,NA,slr1493,slr1493,P72612
4,NA,NA,slr1494,slr1494,P72613
4,NA,NA,sll1401,sll1401,P72614
4,NA,NA,sll1400,sll1400,P72615
4,NA,NA,ssl2733,ssl2733,P72616
4,NA,NA,sll1399,sll1399,P72617
4,Photosynthesis,syn00195,psb13,sll1398,Q55356
5,NA,NA,slr1495,slr1495,P72618
5,NA,NA,sll1397,sll1397,P75027
5,NA,NA,sll1396,sll1396,P72619
5,NA,NA,hypD,slr1498,P72620
5,Streptomycin biosynthesis,syn00521,rfbD,sll1395,P72621
5,NA,NA,msrA,sll1394,P72622
5,Starch and sucrose metabolism,syn00500,glgA,sll1393,P72623
5,NA,NA,sll1392,sll1392,P72624
5,NA,NA,slr1501,slr1501,P72625
5,NA,NA,slr1113,slr1113,P72626
6,NA,NA,slr1114,slr1114,P72627
6,NA,NA,slr1115,slr1115,P72628
6,NA,NA,slr1116,slr1116,P72629
6,NA,NA,slr1117,slr1117,P72630
6,NA,NA,sll1064,sll1064,P72631
6,NA,NA,rffM,slr1118,P72632
6,NA,NA,sll1063,sll1063,P72633
6,NA,NA,slr1119,slr1119,P72634
6,NA,NA,sll1062,sll1062,P72635
6,NA,NA,sll1061,sll1061,P72636
7,NA,NA,sll1060,sll1060,P72637
7,NA,NA,ssl2069,ssl2069,P72638
7,NA,NA,ssr1853,ssr1853,P72639
7,NA,NA,hofD,slr1120,P72640
7,Purine metabolism,syn00230,adk,sll1059,P72641
7,Monobactam biosynthesis,syn00261,dapB,sll1058,P72642
7,NA,NA,trx,sll1057,P72643
7,Purine metabolism,syn00230,purL,sll1056,P72644
7,NA,NA,slr1122,slr1122,P72645
7,Purine metabolism,syn00230,sll1054,sll1054,P72646
8,NA,NA,sll1053,sll1053,P72647
8,Purine metabolism,syn00230,gmk,slr1123,P72648
8,"Glycine, serine and threonine metabolism",syn00260,gpmB,slr1124,P72649
8,NA,NA,crtX,slr1125,P72650
8,NA,NA,sll1052,sll1052,P72651
8,Photosynthesis - antenna proteins,syn00196,cpcF,sll1051,P72652
8,NA,NA,sll1049,sll1049,P72653
8,NA,NA,slr1127,slr1127,P72654
8,NA,NA,slr1128,slr1128,P72655
8,RNA degradation,syn03018,rne,slr1129,P72656
9,DNA replication,syn03030,rhnB,slr1130,P72657
9,NA,NA,mutT,sll1045,P72658
9,RNA degradation,syn03018,pnp,sll1043,P72659
9,Protein export,syn03060,lepB,sll0716,P72660
9,Pyruvate metabolism,syn00620,me,slr0721,P72661
9,Cysteine and methionine metabolism,syn00270,cysM,sll0712,P72662
9,Terpenoid backbone biosynthesis,syn00900,sll0711,sll0711,P72663
9,NA,NA,sll0710,sll0710,P72664
9,NA,NA,llaI.2,sll0709,P72665
9,NA,NA,ksgA,sll0708,P72666
10,NA,NA,slr0722,slr0722,P72667
10,NA,NA,slr0723,slr0723,P72668
10,NA,NA,sohA,slr0724,P72669
10,NA,NA,slr0725,slr0725,P72670
10,NA,NA,slr0727,slr0727,P72671
10,NA,NA,slr0728,slr0728,P72672
10,NA,NA,slr0729,slr0729,P72673
10,NA,NA,slr0730,slr0730,P72674
10,NA,NA,slr0731,slr0731,P72675
10,Thiamine metabolism,syn00730,nifS,sll0704,P72676
11,NA,NA,slr0732,slr0732,P72677
11,NA,NA,sll0703,sll0703,P72678
11,NA,NA,sll0702,sll0702,P72679
11,NA,NA,xerC,slr0733,P72680
11,NA,NA,ssl1326,ssl1326,P72681
11,NA,NA,slr0734,slr0734,P72682
11,NA,NA,sll0700,sll0700,Q55696
11,NA,NA,sll0699,sll0699,Q55697
11,Two-component system,syn02020,dfr,sll0698,P20169
11,Photosynthesis,syn00195,psaD,slr0737,P19569
12,"Phenylalanine, tyrosine and tryptophan biosynthesis",syn00400,trpE,slr0738,P20170
12,Terpenoid backbone biosynthesis,syn00900,crtE,slr0739,P72683
12,NA,NA,slr0740,slr0740,P72684
12,NA,NA,sll0696,sll0696,P72685
12,NA,NA,phoU,slr0741,P72686
12,NA,NA,slr0742,slr0742,P72687
12,NA,NA,nusA,slr0743,P72688
12,NA,NA,infB,slr0744,P72689
12,NA,NA,slr0236,slr0236,P72690
12,Starch and sucrose metabolism,syn00500,glgX,slr0237,P72691
13,NA,NA,slr0238,slr0238,P72692
13,NA,NA,ssl0426,ssl0426,P72693
13,Porphyrin and chlorophyll metabolism,syn00860,cbiF,slr0239,P72694
13,NA,NA,slr0240,slr0240,P72695
13,NA,NA,slr0241,slr0241,P72696
13,NA,NA,bcp,slr0242,P72697
13,NA,NA,slr0243,slr0243,P72698
13,NA,NA,sll0230,sll0230,P72699
13,NA,NA,slr0244,slr0244,P72700
13,Photosynthesis,syn00195,psbM,sml0003,P72701
14,NA,NA,slr0245,slr0245,P72702
14,Arginine and proline metabolism,syn00330,sll0228,sll0228,P72703
14,NA,NA,ppiB,sll0227,P72704
14,NA,NA,ycf4,sll0226,P72705
14,NA,NA,sll0225,sll0225,P72706
14,NA,NA,sll0224,sll0224,P72707
14,NA,NA,rnpB,rnpB,NA
14,NA,NA,slr0249,slr0249,P72708
14,NA,NA,slr0250,slr0250,P72709
14,ABC transporters,syn02010,slr0251,slr0251,P72710
15,Porphyrin and chlorophyll metabolism,syn00860,slr0252,slr0252,P72711
15,Photosynthesis,syn00195,psaK,ssr0390,P72712
15,NA,NA,ssl0410,ssl0410,P72713
15,Oxidative phosphorylation,syn00190,ndhB,sll0223,P72714
15,NA,NA,phoA,sll0222,P72715
15,NA,NA,sgl0002,sgl0002,P72716
15,Photosynthesis,syn00195,ycf6,sml0004,P72717
15,NA,NA,slr0254,slr0254,P72718
15,NA,NA,bcp,sll0221,P72719
15,"Alanine, aspartate and glutamate metabolism",syn00250,glmS,sll0220,P72720
16,NA,NA,sll0219,sll0219,P72721
16,NA,NA,sll0218,sll0218,P72722
16,NA,NA,sll0217,sll0217,P72723
16,NA,NA,ctpB,slr0257,P75023
16,NA,NA,sll0216,sll0216,P72724
16,NA,NA,slr1411,slr1411,P72725
16,Oxidative phosphorylation,syn00190,atpC,sll1327,P17253
16,Oxidative phosphorylation,syn00190,atpA,sll1326,P27179
16,Oxidative phosphorylation,syn00190,atpD,sll1325,P27180
16,Oxidative phosphorylation,syn00190,atpF,sll1324,P27181
17,Oxidative phosphorylation,syn00190,atpG,sll1323,P27183
17,Oxidative phosphorylation,syn00190,atpH,ssl2615,P27182
17,Oxidative phosphorylation,syn00190,atpI,sll1322,P27178
17,NA,NA,atp1,sll1321,P27196
17,NA,NA,slr1413,slr1413,P72727
17,NA,NA,slr1414,slr1414,P72728
17,NA,NA,slr1415,slr1415,P72729
17,NA,NA,morR,slr1416,P72730
17,NA,NA,slr1417,slr1417,P72731
17,NA,NA,sll1319,sll1319,P72732
18,NA,NA,sll1318,sll1318,P72733
18,ABC transporters,syn02010,sll1041,sll1041,P72734
18,NA,NA,sll1040,sll1040,P72735
18,Folate biosynthesis,syn00790,folK,slr1093,P72736
18,Aminoacyl-tRNA biosynthesis,syn00970,trnP-GGG,trnP-GGG,NA
18,NA,NA,slr1094,slr1094,P72737
18,NA,NA,sll1039,sll1039,P72738
18,NA,NA,slr1095,slr1095,P72739
18,Glycolysis / Gluconeogenesis,syn00010,phdD,slr1096,P72740
18,NA,NA,slr1097,slr1097,P72741
19,NA,NA,slr1098,slr1098,P72742
19,Ubiquinone and other terpenoid-quinone biosynthesis,syn00130,ubiX,slr1099,P72743
19,NA,NA,slr1100,slr1100,P72744
19,NA,NA,slr1101,slr1101,P72745
19,NA,NA,slr1102,slr1102,P72746
19,NA,NA,slr1103,slr1103,P72747
19,NA,NA,slr1104,slr1104,P72748
19,NA,NA,fus,slr1105,P72749
19,NA,NA,sll1037,sll1037,P72750
19,NA,NA,sll1036,sll1036,P72751
20,NA,NA,ssl2009,ssl2009,P72752
20,Pyrimidine metabolism,syn00240,upp,sll1035,P72753
20,NA,NA,phb,slr1106,P72754
20,NA,NA,slr1107,slr1107,P72755
20,NA,NA,sll1033,sll1033,P72756
20,NA,NA,ccmN,sll1032,P72757
20,NA,NA,ccmM,sll1031,P72758
