sample_id,decision,time_h,slope,r.squared,w_size
191030_PC_1_5,211,350.41722222,0.05621176,0.87354994,6
191030_PC_1_5,212,351.50055556,0.04568758,0.82466013,13
191030_PC_1_5,213,352.25055556,0.04963208,0.87890303,9
191030_PC_1_5,214,353.33388889,0.04696435,0.93414658,13
191030_PC_1_5,215,354.25055556,0.05562787,0.9325235,11
191030_PC_1_5,216,354.9175,0.06733115,0.58338153,8
191030_PC_1_5,217,356.16722222,0.03838421,0.81344336,15
191030_PC_1_5,218,357.08388889,0.05020299,0.79506042,11
191030_PC_1_5,219,358.00083333,0.04709734,0.91916996,11
191030_PC_1_5,220,358.75055556,0.05062943,0.79155876,9
191030_PC_1_5,221,359.58388889,0.05868487,0.9325012,10
191030_PC_1_5,222,360.41722222,0.05957561,0.88818035,10
191030_PC_1_5,223,361.25083333,0.05720582,0.89697349,10
191030_PC_1_5,224,362.16722222,0.0502654,0.86379631,11
191030_PC_1_5,225,363.25055556,0.04650772,0.91834641,13
191030_PC_1_5,226,364.08416667,0.05241708,0.85319882,10
191030_PC_1_5,227,365.00055556,0.04780581,0.91719975,11
191030_PC_1_5,228,365.75083333,0.05678813,0.85620278,9
191030_PC_1_5,229,366.75055556,0.0462707,0.84773324,12
191030_PC_1_5,230,367.75083333,0.0462259,0.92756684,12
191030_PC_1_5,231,368.66722222,0.06317173,0.83051837,11
191030_PC_1_5,232,369.50055556,0.04438589,0.70916959,10
191030_PC_1_5,233,370.50083333,0.04703141,0.92377705,12
191030_PC_1_5,234,371.16722222,0.04498508,0.77818292,8
191030_PC_1_5,235,372.41722222,0.04099402,0.94851857,15
191030_PC_1_5,236,372.91722222,0.10171578,0.83878104,6
191030_PC_1_5,237,374.16722222,0.04616308,0.95883676,15
191030_PC_1_5,238,375.08388889,0.05102268,0.86185754,11
191030_PC_1_5,239,376.00055556,0.04990296,0.94502506,11
191030_PC_1_5,240,376.91722222,0.05219986,0.85039099,11
191030_PC_1_5,241,377.83416667,0.04263406,0.83164352,11
191030_PC_1_5,242,378.6675,0.06082253,0.90072714,10
191030_PC_1_5,243,379.58388889,0.05640172,0.87228939,11
191030_PC_1_5,244,380.66722222,0.04773117,0.95662102,13
191030_PC_1_5,245,381.33388889,0.04314345,0.72155154,8
191030_PC_1_5,246,382.33388889,0.05168515,0.93977669,12
191030_PC_1_5,247,383.41722222,0.04187505,0.91152744,13
191030_PC_1_5,248,384.00055556,0.06132532,0.84419826,7
191030_PC_1_5,249,385.16722222,0.04556964,0.89347718,14
191030_PC_1_5,250,386.16722222,0.03981672,0.80837329,12
191030_PC_1_5,251,387.08388889,0.041201840000000003,0.80954074,11
191030_PC_1_5,252,387.91722222,0.04795527,0.92684932,10
191030_PC_1_5,253,388.9175,0.05307956,0.9702868,12
191030_PC_1_5,254,389.58388889,0.06207037,0.9536562,8
191030_PC_1_5,255,390.58388889,0.04606911,0.91659203,12
191030_PC_1_5,256,391.58388889,0.04317029,0.92922277,15
191030_PC_1_5,256,391.58388889,0.04317029,0.92922277,15
191030_PC_1_5,257,392.41722222,0.03992898,0.100549,43
191030_PC_1_5,259,393.33416667,0.05565805,0.94851751,10
191030_PC_1_5,260,394.25055556,0.04189253,0.91247096,11
191030_PC_1_5,261,395.1675,0.04135002,0.83565218,11
191030_PC_1_5,262,396.1675,0.0463507,0.9146845,12
191030_PC_1_5,263,397.00055556,0.04072233,0.92001631,10
191030_PC_1_5,264,397.83388889,0.05466754,0.87429584,10
191030_PC_1_5,265,398.83388889,0.05135068,0.92096562,12
191030_PC_1_5,266,399.83388889,0.05272371,0.9200105,12
191030_PC_1_5,267,400.58388889,0.06366654,0.91264033,9
191030_PC_1_5,268,401.75055556,0.03863339,0.85154174,14
191030_PC_1_5,269,402.58388889,0.05379365,0.92996928,10
191030_PC_1_5,270,403.50055556,0.05737185,0.92425894,11
191030_PC_1_5,271,404.58388889,0.04197359,0.9384143,13
191030_PC_1_5,272,405.33388889,0.04949598,0.85248574,9
191030_PC_1_5,273,406.16722222,0.0446337,0.83833903,10
191030_PC_1_5,274,406.91722222,0.04524921,0.90743029,9
191030_PC_1_5,275,407.9175,0.04321631,0.9121323,12
191030_PC_1_5,276,408.91722222,0.04439567,0.88930004,12
