sample_id,decision,time_h,slope,r.squared,w_size
191226_PC_2_1,116,604.26722222,0.01355081,0.86228978,52
191226_PC_2_1,117,608.4325,0.01347405,0.94442113,50
191226_PC_2_1,118,612.4325,0.01422106,0.89777811,48
191226_PC_2_1,119,616.34916667,0.01347286,0.87986994,47
191226_PC_2_1,120,620.1825,0.01554405,0.89518685,46
191226_PC_2_1,121,624.01583333,0.01280938,0.90476697,46
191226_PC_2_1,122,627.84916667,0.0165727,0.87265963,46
191226_PC_2_1,123,631.6825,0.01355261,0.86014258,46
191226_PC_2_1,124,635.76722222,0.01382468,0.89705219,49
191226_PC_2_1,125,639.51722222,0.01338436,0.87671884,45
191226_PC_2_1,126,643.76722222,0.01169188,0.91580703,51
191226_PC_2_1,127,647.51722222,0.01308651,0.77529483,45
191226_PC_2_1,128,651.59916667,0.01512446,0.89075811,49
191226_PC_2_1,129,655.34916667,0.01823063,0.88098052,45
191226_PC_2_1,130,659.51722222,0.01551288,0.88929098,50
191226_PC_2_1,131,663.59916667,0.01128854,0.88776245,49
191226_PC_2_1,132,667.51722222,0.01482665,0.87796101,47
191226_PC_2_1,133,671.09916667,0.01320413,0.8856872,43
191226_PC_2_1,134,675.26722222,0.01368402,0.93229011,50
191226_PC_2_1,135,679.26722222,0.01151495,0.87604297,48
191226_PC_2_1,136,683.84916667,0.01167015,0.90101698,55
191226_PC_2_1,137,687.84944444,0.01446958,0.88326782,48
191226_PC_2_1,138,691.4325,0.01200715,0.86307981,43
191226_PC_2_1,139,695.76722222,0.01168619,0.87801146,52
191226_PC_2_1,140,698.9325,0.01310359,0.87912086,38
191226_PC_2_1,141,703.09916667,0.01153297,0.86689747,50
191226_PC_2_1,142,708.26583333,0.01213462,0.91473755,62
191226_PC_2_1,143,713.01583333,0.01348903,0.92398071,57
191226_PC_2_1,144,717.1825,0.01282683,0.89642073,50
191226_PC_2_1,145,721.59916667,0.0134393,0.92980077,53
191226_PC_2_1,146,725.76583333,0.01361816,0.91494275,50
191226_PC_2_1,147,731.09916667,0.0126142,0.92224573,64
191226_PC_2_1,148,735.76583333,0.01140167,0.87942418,56
191226_PC_2_1,149,738.84916667,0.00972808,0.60699045,37
191226_PC_2_1,150,743.09916667,0.01197321,0.86132994,51
191226_PC_2_1,151,747.09916667,0.01558998,0.91455455,48
191226_PC_2_1,152,752.01583333,0.01242685,0.91311288,59
191226_PC_2_1,153,756.59916667,0.01116412,0.87231125,55
191226_PC_2_1,154,760.34916667,0.01662856,0.9191691,45
191226_PC_2_1,155,764.51583333,0.0139586,0.88447856,50
191226_PC_2_1,156,767.76583333,0.01710444,0.90848458,39
191226_PC_2_1,157,772.1825,0.01127553,0.84689775,53
191226_PC_2_1,158,776.9325,0.01268248,0.9026128,57
191226_PC_2_1,159,780.84916667,0.01498314,0.91662989,47
191226_PC_2_1,160,784.6825,0.01395334,0.88987274,46
191226_PC_2_1,161,788.51722222,0.01233264,0.86931484,46
191226_PC_2_1,162,792.59916667,0.01472584,0.90328563,49
