"Bucket label","RT","m/z","Name","Formula","202002_TTP_SILS2665_RA_1_1 _merged_","202002_TTP_SILS2666_RA_1_1 _merged_","202002_TTP_SILS2667_R1_1 _merged_","202002_TTP_SILS2668_R_1_1 _merged_","202002_TTP_SILS2669_R_1_ _merged_","202002_TTP_SILS2670_R_1_ _merged_"
"344.07941 Da 18.36 s",0.31,345.08669,,"C20H12N2O4",10066.0,9210.0,9564.0,8882.0,9346.0,8106.0
"501.29422 Da 37.93 s",0.63,502.30149,,"C20H40N9O4P",3996.0,4116.0,4132.0,4006.0,4138.0,3760.0
"473.26154 Da 38.03 s",0.63,474.26881,,"C20H31N11O3",12752.0,12458.0,13546.0,13454.0,12588.0,11908.0
"445.30368 Da 38.11 s",0.64,446.31096,,"C23H43NO7",5024.0,5430.0,5416.0,5384.0,6076.0,5760.0
"401.27769 Da 38.20 s",0.64,402.28497,,"C21H39NO6",2176.0,2526.0,2460.0,2964.0,2602.0,2260.0
"357.25084 Da 38.20 s",0.64,358.25812,,"C19H35NO5",104216.0,94146.0,98880.0,100620.0,96238.0,95914.0
"343.23542 Da 38.21 s",0.64,344.24270,,"C18H33NO5",16362.0,15102.0,15566.0,15854.0,16046.0,15080.0
"387.26151 Da 38.30 s",0.64,388.26878,,"C17H29N11",8170.0,7956.0,8342.0,8686.0,8268.0,8894.0
"287.24605 Da 38.30 s",0.64,288.25333,,"C16H33NO3",3512.0,3312.0,3450.0,3114.0,3020.0,2904.0
"227.22495 Da 38.38 s",0.64,228.23223,,"C14H29NO",5202.0,4556.0,4696.0,4742.0,5350.0,5100.0
"313.22515 Da 38.48 s",0.64,314.23243,,"C17H31NO4",2968.0,2600.0,3042.0,2726.0,2668.0,2446.0
"470.29856 Da 38.48 s",0.64,471.30584,,"C16H46N4O9S",6710.0,5998.0,6830.0,6832.0,6862.0,7408.0
"341.25639 Da 38.56 s",0.64,342.26367,,"C19H35NO4",4462.0,3598.0,4656.0,4134.0,4704.0,4124.0
"603.29163 Da 38.62 s",0.64,604.29891,,"C23H53N7OS5",1280.0,1098.0,986.0,1228.0,1060.0,1058.0
"426.27280 Da 38.66 s",0.64,427.28008,,"C22H38N2O6",1832.0,1770.0,1908.0,2180.0,1822.0,1650.0
"175.08441 Da 38.66 s",0.64,176.09169,,"C7H13NO4",1968.0,1736.0,2500.0,1824.0,1956.0,1858.0
"512.34626 Da 38.67 s",0.64,513.35354,,"C27H48N2O7",4028.0,3520.0,4116.0,3364.0,3562.0,3334.0
"399.29874 Da 38.76 s",0.65,400.30602,,"C22H41NO5",1748.0,1530.0,1700.0,1690.0,1840.0,1926.0
"257.16276 Da 38.93 s",0.65,258.17004,,"C13H23NO4",5264.0,4502.0,5002.0,5024.0,4852.0,5140.0
"617.30738 Da 38.94 s",0.65,618.31465,,"C31H39N9O5",1772.0,1702.0,1624.0,1550.0,1432.0,1554.0
"906.61715 Da 39.05 s",0.65,454.31585,,,0.0,1302.0,0.0,1428.0,1128.0,1130.0
"468.32080 Da 39.10 s",0.65,469.32808,,"C26H48N2OS2",1132.0,1096.0,1202.0,1400.0,1154.0,1110.0
"285.23034 Da 39.11 s",0.65,286.23762,,"C16H31NO3",1944.0,1712.0,2006.0,1900.0,2080.0,1984.0
"421.31892 Da 39.17 s",0.65,422.32620,,"C25H43NO4",1974.0,1514.0,1870.0,1722.0,1452.0,1582.0
"215.11579 Da 39.22 s",0.65,216.12307,,"C10H17NO4",17816.0,17342.0,17350.0,17488.0,17982.0,16734.0
"333.23044 Da 39.30 s",0.66,334.23771,,"C20H31NO3",3174.0,3336.0,3252.0,3300.0,3318.0,3158.0
"229.20415 Da 39.45 s",0.66,230.21142,,"C13H27NO2",1802.0,1928.0,1634.0,1634.0,1778.0,1676.0
"573.27788 Da 39.58 s",0.66,574.28516,,"C17H35N17O4S",34720.0,30552.0,28444.0,26808.0,26386.0,26688.0
"437.31347 Da 39.75 s",0.66,438.32075,,"C19H44N5O4P",13076.0,13532.0,13394.0,12866.0,12790.0,12030.0
"397.28261 Da 39.75 s",0.66,398.28989,,"C22H39NO5",3990.0,4048.0,4002.0,3594.0,3856.0,3702.0
"271.21621 Da 39.88 s",0.66,272.22349,,,1010.0,862.0,774.0,850.0,796.0,1032.0
"517.28831 Da 40.01 s",0.67,518.29558,,"C25H43NO10",15178.0,12920.0,13576.0,13020.0,12132.0,11288.0
"413.24127 Da 40.01 s",0.67,414.24855,,"C21H35NO7",2506.0,2150.0,2064.0,2130.0,2126.0,2102.0
"453.30755 Da 40.49 s",0.67,454.31483,,,1546.0,1084.0,1308.0,0.0,0.0,1248.0
"363.20173 Da 40.56 s",0.68,364.20901,,,3294.0,3562.0,0.0,0.0,1886.0,1218.0
"560.35943 Da 40.57 s",0.68,561.36671,,,1780.0,1602.0,1304.0,1152.0,1426.0,1296.0
