"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"50.98662 Da 15.08 s",0.25,51.99390,,,1934.0,1278.0,1424.0,1048.0,1036.0,1370.0
"219.03160 Da 15.17 s",0.25,220.03888,,"C6H9N3O4S",1370.0,1950.0,1870.0,2090.0,1796.0,2510.0
"53.93944 Da 15.29 s",0.25,54.94672,,,840.0,960.0,1094.0,1380.0,968.0,838.0
"153.99531 Da 15.32 s",0.26,155.00258,,"C4H2N4OS",4194.0,4688.0,4936.0,5428.0,4730.0,5450.0
"51.99432 Da 15.33 s",0.26,53.00160,,,2196.0,2312.0,2210.0,2168.0,2080.0,1716.0
"60.05733 Da 15.42 s",0.26,61.06460,,,1226.0,1426.0,1458.0,1450.0,1612.0,1474.0
"204.00835 Da 15.43 s",0.26,205.01563,,,1304.0,1430.0,1318.0,466.0,1264.0,484.0
"200.00067 Da 15.56 s",0.26,201.00794,,"C5H4N4O3S",4714.0,5852.0,6784.0,5770.0,6870.0,6606.0
"142.06294 Da 15.63 s",0.26,143.07022,,"C7H10O3",2886.0,1928.0,2216.0,1978.0,1824.0,2042.0
"138.95595 Da 15.91 s",0.27,139.96323,,,950.0,1164.0,1042.0,1390.0,1216.0,1204.0
"53.00090 Da 15.92 s",0.27,54.00818,,,9324.0,10680.0,10332.0,9746.0,9380.0,10178.0
"56.92726 Da 16.08 s",0.27,57.93454,,,1570.0,1912.0,1680.0,1888.0,1618.0,1750.0
"116.08271 Da 16.32 s",0.27,59.04863,,,1616.0,994.0,1064.0,892.0,0.0,866.0
"568.54294 Da 17.51 s",0.29,285.27874,,,0.0,1666.0,678.0,1312.0,0.0,0.0
"142.95173 Da 17.61 s",0.29,143.95900,,,1166.0,1546.0,1302.0,1336.0,1458.0,1382.0
"158.95818 Da 18.04 s",0.30,159.96546,,,800.0,902.0,764.0,746.0,1010.0,820.0
"164.78020 Da 18.09 s",0.30,55.93401,,,0.0,0.0,0.0,0.0,0.0,13814.0
"96.96127 Da 18.28 s",0.30,97.96854,,,5610.0,9532.0,8432.0,7536.0,0.0,7962.0
"256.24063 Da 18.71 s",0.31,257.24790,"Isopalmitic acid","C16H32O2",1344.0,2272.0,1148.0,1428.0,1200.0,1400.0
"193.92231 Da 18.93 s",0.32,97.96843,,,0.0,0.0,0.0,0.0,7174.0,0.0
"70.92200 Da 19.96 s",0.33,71.92928,,,824.0,1254.0,1272.0,996.0,1058.0,1336.0
"109.85344 Da 22.49 s",0.37,55.93399,,,9958.0,12244.0,13008.0,13678.0,12988.0,13408.0
"283.90847 Da 26.01 s",0.43,142.96151,,,0.0,174.0,0.0,0.0,1542.0,0.0
"58.51412 Da 27.66 s",0.46,59.52140,,,1386.0,974.0,1004.0,660.0,982.0,618.0
"430.83900 Da 27.94 s",0.47,431.84628,,"C9H5NO7S6",618.0,486.0,1182.0,1076.0,930.0,698.0
"57.99038 Da 28.02 s",0.47,58.99765,,,2296.0,2224.0,1658.0,1190.0,1368.0,1042.0
"599.89703 Da 28.19 s",0.47,200.97295,,,0.0,0.0,1868.0,0.0,0.0,0.0
"300.05548 Da 28.19 s",0.47,151.03502,,,0.0,0.0,4462.0,0.0,0.0,0.0
"274.87978 Da 28.23 s",0.47,275.88705,,,806.0,616.0,960.0,1118.0,1312.0,1082.0
"49.50833 Da 28.25 s",0.47,50.51560,,,0.0,0.0,0.0,3436.0,0.0,0.0
"72.52496 Da 28.32 s",0.47,73.53224,,,0.0,2928.0,0.0,0.0,0.0,0.0
"365.91257 Da 28.32 s",0.47,183.96356,,,3662.0,3328.0,3572.0,2828.0,2636.0,1370.0
"481.98351 Da 28.32 s",0.47,241.99903,,,0.0,2572.0,0.0,0.0,0.0,0.0
"54.50659 Da 28.46 s",0.47,55.51387,,,0.0,0.0,0.0,0.0,0.0,5996.0
"122.03360 Da 28.50 s",0.47,62.02408,,,15576.0,18914.0,17726.0,16732.0,16908.0,11274.0
"68.50946 Da 28.58 s",0.48,69.51674,,,6060.0,4832.0,6236.0,5548.0,6112.0,3678.0
"104.02310 Da 28.66 s",0.48,53.01883,,,9510.0,10326.0,10014.0,10674.0,0.0,6994.0
"99.96144 Da 28.69 s",0.48,50.98800,,,6050.0,7076.0,8478.0,7750.0,7164.0,5166.0
"66.99066 Da 28.71 s",0.48,67.99794,,,1934.0,2086.0,2278.0,2108.0,1910.0,1692.0
"140.04424 Da 28.72 s",0.48,71.02940,,,1800.0,2088.0,2920.0,2478.0,2084.0,1664.0
"399.89857 Da 28.75 s",0.48,400.90585,,"C9H8N2O6S5",1230.0,0.0,1346.0,1094.0,0.0,834.0
"241.99511 Da 28.75 s",0.48,243.00239,,"C5H3N6O4P",878.0,1210.0,1188.0,892.0,1034.0,640.0
