multicultivator,channel,wavelength,degree,value,from,to,model
0,0,720,0,-0.0507,NA,0.6683,1
0,0,720,1,1.7865,NA,0.6683,1
0,1,720,0,-0.0417,NA,0.6892,1
0,1,720,1,1.7152,NA,0.6892,1
0,2,720,0,-0.0661,NA,0.6174,1
0,2,720,1,1.9828,NA,0.6174,1
0,3,720,0,-0.0454,NA,0.6585,1
0,3,720,1,1.8273,NA,0.6585,1
0,4,720,0,-0.0483,NA,0.6125,1
0,4,720,1,1.9772,NA,0.6125,1
0,5,720,0,-0.0541,NA,0.6221,1
0,5,720,1,1.9587,NA,0.6221,1
0,6,720,0,-0.0405,NA,0.5691,1
0,6,720,1,1.7699,NA,0.5691,1
0,7,720,0,-0.0472,NA,0.6521,1
0,7,720,1,1.8327,NA,0.6521,1
0,0,720,0,-0.0507,0.6683,NA,2
0,0,720,1,1.7865,0.6683,NA,2
0,1,720,0,-0.0417,0.6892,NA,2
0,1,720,1,1.7152,0.6892,NA,2
0,2,720,0,-0.0661,0.6174,NA,2
0,2,720,1,1.9828,0.6174,NA,2
0,3,720,0,-0.0454,0.6585,NA,2
0,3,720,1,1.8273,0.6585,NA,2
0,4,720,0,-0.0483,0.6125,NA,2
0,4,720,1,1.9772,0.6125,NA,2
0,5,720,0,-0.0541,0.6221,NA,2
0,5,720,1,1.9587,0.6221,NA,2
0,6,720,0,-0.0405,0.5691,NA,2
0,6,720,1,1.7699,0.5691,NA,2
0,7,720,0,-0.0472,0.6521,NA,2
0,7,720,1,1.8327,0.6521,NA,2
