Well,Dye Name,Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Reading 11,Reading 12,Reading 13,Reading 14,Reading 15,Reading 16,Reading 17,Reading 18,Reading 19,Reading 20,Reading 21,Reading 22,Reading 23,Reading 24,Reading 25,Reading 26,Reading 27,Reading 28,Reading 29,Reading 30,Reading 31,Reading 32,Reading 33,Reading 34,Reading 35,Reading 36,Reading 37,Reading 38,Reading 39,Reading 40,Reading 41,Reading 42,Reading 43,Reading 44,Reading 45,Reading 46,Reading 47,Reading 48,Reading 49,Reading 50,Reading 51,Reading 52,Reading 53,Reading 54,Reading 55,Reading 56,Reading 57,Reading 58,Reading 59,Reading 60,Reading 61,Reading 62,Reading 63,Reading 64,Reading 65,Reading 66,Reading 67,Reading 68,Reading 69,Reading 70,Reading 71,Reading 72,Reading 73,Reading 74,Reading 75,Reading 76,Reading 77,Reading 78,Reading 79,Reading 80,Reading 81,Reading 82,Reading 83,Reading 84,Reading 85,Reading 86,Reading 87,Reading 88,Reading 89,Reading 90,Reading 91,Reading 92,Reading 93,Reading 94,Reading 95,Reading 96,Reading 97,Reading 98,Reading 99,Reading 100,Reading 101,Reading 102,Reading 103,Reading 104,Reading 105,Reading 106,Reading 107,Reading 108,Reading 109,Reading 110,Reading 111,Reading 112,Reading 113,Reading 114,Reading 115,Reading 116,Reading 117,Reading 118,Reading 119,Reading 120,Reading 121,Reading 122,Reading 123,Reading 124,Reading 125,Reading 126,Reading 127,Reading 128,Reading 129,Reading 130,Reading 131,Reading 132,Reading 133,Reading 134,Reading 135,Reading 136,Reading 137,Reading 138,Reading 139,Reading 140,Reading 141,Reading 142,Reading 143
1,ROX,116160.382813,117117.578125,117772.257813,118108.125000,118331.585938,118498.734375,118690.710938,118802.804688,118890.914063,118907.125000,118983.273438,119095.843750,119190.726563,119162.140625,119067.390625,118910.203125,118627.343750,117943.031250,116816.382813,115013.320313,112770.929688,110370.390625,108370.898438,106901.554688,105922.929688,105249.320313,104792.585938,104452.132813,104222.515625,104192.320313,104199.015625,104190.750000,104103.921875,104139.875000,104188.945313,104351.945313,104469.578125,104538.140625,104565.546875,104654.828125,109205.265625,109419.109375,109727.570313,110006.265625,110161.546875,110237.281250,110376.703125,110626.476563,110780.289063,110980.054688,111080.140625,111159.562500,111233.578125,111441.375000,111644.218750,111792.140625,111878.812500,111949.968750,111996.687500,112055.531250,112196.476563,112346.179688,112554.726563,112649.257813,112802.031250,112950.507813,113100.226563,113147.351563,113197.632813,113293.898438,113436.890625,113612.695313,113661.039063,113623.218750,113636.921875,113767.593750,113955.734375,114059.117188,114221.593750,114366.656250,114520.515625,114583.109375,114558.328125,114540.093750,114650.531250,114770.132813,114905.117188,114907.921875,115025.710938,115104.875000,115270.312500,115354.375000,115476.335938,115510.421875,115555.085938,115611.890625,115817.054688,115870.523438,116018.242188,116054.593750,116086.859375,116115.406250,116249.671875,116323.703125,116425.851563,116483.289063,116602.789063,116687.500000,116961.320313,117225.335938,117790.273438,118829.843750,120756.882813,122515.085938,123136.414063,121830.992188,120048.203125,118667.437500,118202.421875,118083.601563,118051.101563,117941.710938,117773.304688,117707.039063,117679.726563,117622.593750,117574.437500,117532.851563,117454.601563,117379.804688,117411.132813,117395.523438,117301.984375,117234.945313,117222.773438,117229.835938,117139.789063,117067.437500,116949.328125,116867.101563,116947.625000,116771.078125,116065.593750
1,SYBR,73027.757813,73799.117188,74292.945313,74537.914063,74730.835938,74864.875000,74925.515625,75116.968750,75383.945313,75712.875000,76082.171875,76965.101563,78876.812500,82642.218750,89872.554688,103411.656250,128245.414063,170794.125000,236450.937500,323077.343750,417506.125000,501520.156250,563743.625000,603914.875000,628184.312500,642623.312500,651472.250000,657052.812500,660633.000000,662710.562500,664014.375000,664755.250000,665038.875000,664562.125000,664013.312500,663427.437500,662901.500000,661968.875000,661054.875000,660254.000000,616726.750000,596372.312500,579873.250000,567535.250000,558028.500000,550609.750000,544592.875000,539074.875000,534216.437500,529665.375000,525664.562500,521681.187500,517886.937500,513914.156250,510101.875000,506243.937500,502468.750000,498801.187500,495076.468750,491544.312500,488102.281250,484598.875000,480730.906250,476941.718750,473507.156250,470131.031250,466648.531250,463143.218750,459834.375000,456463.843750,452927.937500,449499.500000,446135.343750,442951.750000,439689.750000,436448.468750,432766.312500,429235.906250,425603.875000,422095.000000,418551.468750,415226.875000,411853.687500,408467.218750,404965.875000,401393.437500,397863.468750,394492.187500,391074.343750,387758.031250,384356.312500,380847.531250,377320.687500,373914.062500,370539.812500,367022.062500,363610.656250,360179.250000,356689.812500,353380.687500,350002.062500,346499.406250,342854.250000,339186.125000,335312.500000,331358.875000,327483.000000,323384.687500,318440.531250,311325.875000,300282.062500,282116.625000,250358.718750,204038.421875,150329.921875,106370.070313,80719.328125,70772.109375,66528.539063,63256.488281,60443.312500,57441.046875,54341.261719,51740.730469,50154.500000,49340.863281,48611.367188,47943.542969,47174.597656,46387.882813,45509.925781,44716.625000,43842.800781,42678.695313,41216.753906,39195.773438,36849.937500,34406.710938,32355.804688,30638.710938,28572.789063,26684.037109,25405.433594
2,ROX,151971.062500,153044.421875,153675.546875,153868.562500,153972.203125,154021.437500,154129.734375,154260.250000,154351.703125,154380.890625,154347.234375,154260.281250,154062.968750,153690.515625,153022.921875,151772.546875,149720.250000,146826.000000,143643.640625,140884.968750,138852.437500,137367.828125,136268.234375,135580.343750,135055.937500,134754.015625,134605.687500,134710.375000,134688.609375,134693.140625,134651.218750,134671.656250,134553.375000,134544.000000,134661.234375,134755.093750,134827.484375,134854.703125,134970.812500,135054.687500,140502.687500,140773.234375,141102.921875,141492.093750,141826.546875,142076.812500,142275.750000,142426.390625,142470.375000,142593.640625,142805.453125,143041.734375,143192.078125,143415.812500,143665.750000,143843.593750,143983.890625,144073.500000,144266.312500,144478.843750,144679.437500,144702.515625,144817.734375,144948.312500,145202.921875,145432.812500,145675.250000,145801.921875,145837.703125,145882.312500,145985.343750,146202.828125,146364.078125,146372.968750,146430.390625,146509.125000,146741.906250,146874.359375,146955.281250,147001.937500,147163.140625,147306.500000,147327.937500,147307.984375,147244.578125,147237.187500,147286.812500,147443.828125,147550.171875,147645.484375,147636.625000,147585.828125,147521.031250,147531.609375,147651.968750,147751.546875,147742.140625,147818.281250,147849.562500,147981.281250,148020.984375,148117.640625,147989.750000,147889.953125,148016.578125,148177.984375,148287.781250,148218.625000,148368.984375,148630.375000,149207.468750,150210.812500,152249.875000,154611.109375,156183.609375,155087.265625,152316.843750,150237.375000,149914.656250,150279.187500,150410.562500,150765.234375,151143.859375,151313.750000,151372.312500,151240.703125,151105.656250,150884.109375,150807.203125,150613.703125,150463.015625,150300.890625,150136.500000,149842.406250,149491.000000,149247.218750,148904.343750,148591.500000,148243.546875,148140.093750,147994.421875,147451.046875,146282.984375
2,SYBR,94363.796875,95609.156250,96323.437500,96627.953125,96802.734375,96966.585938,97091.210938,97528.562500,98541.062500,100674.148438,104591.195313,112241.828125,126861.703125,153942.609375,201367.500000,277412.968750,383357.531250,506058.031250,622449.250000,713872.187500,775620.375000,813645.062500,836027.250000,849224.312500,857603.625000,863006.812500,865928.187500,867140.062500,867774.375000,868095.812500,868088.500000,867377.000000,866689.500000,865452.500000,864374.500000,863185.125000,861916.500000,860331.312500,858629.187500,857371.125000,798770.375000,772204.375000,750593.875000,734455.312500,722193.375000,712441.375000,704553.750000,697561.250000,691368.875000,685591.437500,680207.125000,674906.750000,669718.062500,664546.875000,659546.062500,654571.875000,649536.375000,644687.875000,639622.375000,634760.562500,629826.000000,625225.500000,620225.812500,615292.000000,610276.312500,605335.875000,600366.875000,595504.375000,590744.937500,585972.250000,581243.187500,576500.625000,571883.375000,567398.250000,562734.187500,557969.687500,552946.250000,547939.000000,543343.125000,538785.687500,534142.375000,529224.687500,524806.187500,520227.968750,515681.843750,510790.187500,505996.843750,501080.375000,496563.875000,492279.937500,488148.093750,483773.625000,479006.656250,473958.218750,468982.781250,464386.812500,460086.906250,455467.843750,450672.562500,445992.375000,441375.781250,436599.875000,431759.875000,427071.343750,422252.031250,417412.000000,412413.406250,407178.406250,401010.781250,392994.000000,381120.812500,361442.000000,325988.531250,270126.406250,197713.609375,129323.460938,83078.453125,62522.445313,55199.351563,51612.859375,48635.781250,45706.429688,42465.808594,39608.304688,37748.738281,37068.687500,36735.648438,36480.757813,36160.441406,35754.976563,35135.773438,34554.964844,33956.367188,33342.476563,32685.490234,32003.902344,31374.664063,30765.447266,30411.761719,29942.478516,29522.585938,28971.638672,28336.867188
3,ROX,163921.765625,164378.453125,164726.687500,165036.812500,165374.875000,165666.281250,165883.531250,166029.078125,166091.812500,166124.312500,166179.984375,166226.296875,166154.125000,165910.703125,165348.171875,164318.953125,162543.937500,159775.828125,156330.875000,152764.859375,149893.843750,147691.203125,146253.671875,145431.000000,144906.968750,144507.656250,144080.250000,144001.640625,143870.984375,143803.718750,143701.593750,143750.015625,143814.093750,143837.265625,143975.296875,144038.984375,144006.187500,143884.562500,143897.890625,143922.562500,150341.250000,150888.000000,151290.765625,151513.203125,151707.953125,152041.265625,152318.656250,152490.390625,152663.437500,153048.312500,153340.312500,153612.453125,153687.312500,153803.015625,153993.125000,154250.437500,154370.546875,154466.171875,154811.812500,155019.031250,155143.750000,155325.843750,155677.000000,155822.250000,156016.171875,156252.265625,156592.156250,156693.406250,156857.734375,156919.531250,157081.140625,157199.312500,157409.515625,157467.546875,157606.515625,157715.187500,157861.875000,157932.437500,158015.390625,158034.546875,158077.250000,158238.937500,158446.421875,158698.765625,158859.218750,158912.000000,158883.500000,158952.234375,159047.968750,159145.812500,159155.500000,159271.250000,159411.953125,159514.375000,159561.390625,159594.187500,159595.640625,159601.046875,159724.984375,159804.875000,159882.578125,160058.703125,160171.296875,160241.140625,160172.218750,160231.390625,160342.937500,160485.984375,160522.609375,160816.546875,161435.734375,162566.687500,164485.359375,167152.718750,169223.906250,168780.484375,166176.250000,163259.953125,161569.468750,160510.296875,160794.468750,161912.468750,163056.062500,163196.125000,163111.406250,163091.890625,163109.000000,163149.546875,163086.250000,163045.015625,163052.218750,162940.015625,162681.156250,162431.687500,162222.578125,161869.093750,161523.656250,161203.937500,160986.375000,160685.203125,160478.875000,159793.109375,158546.250000
3,SYBR,107003.945313,107004.585938,107013.664063,107175.484375,107328.140625,107583.625000,107845.757813,108366.875000,109255.609375,110809.234375,113703.828125,119214.796875,129843.179688,149847.703125,186445.203125,249115.453125,345660.468750,472629.687500,610248.562500,732896.437500,823933.250000,882926.937500,918102.187500,938253.875000,950260.187500,957726.875000,962941.875000,965895.875000,967764.375000,968641.375000,968956.000000,967936.937500,966345.937500,964418.625000,962847.875000,960941.937500,959502.125000,958154.500000,956980.437500,955722.500000,890286.750000,859685.375000,835093.375000,816883.000000,802915.500000,791939.625000,783280.437500,775526.562500,768544.125000,761952.812500,755832.125000,749747.062500,744113.062500,738528.000000,733049.812500,727451.687500,721960.125000,716459.437500,710848.562500,705458.687500,700073.187500,694734.250000,689256.875000,683807.125000,678402.250000,673105.875000,667766.750000,662275.312500,656823.250000,651600.000000,646365.875000,641029.875000,635520.062500,630385.562500,625122.625000,619842.000000,614062.312500,608537.000000,603068.000000,598078.937500,592997.875000,587824.625000,582549.750000,577476.812500,572313.937500,567188.250000,562493.750000,557535.687500,552291.250000,546844.187500,541843.062500,536830.312500,531852.875000,526914.062500,521901.125000,516788.031250,511606.343750,506479.781250,501313.625000,496321.312500,491225.437500,486001.968750,480782.250000,475685.187500,470443.343750,465050.406250,459444.093750,453743.218750,447277.468750,438871.125000,426628.375000,406356.281250,371052.062500,313446.062500,235312.781250,156223.671875,99584.898438,72175.007813,62038.292969,57460.085938,53930.480469,50097.859375,45916.433594,42270.328125,40003.000000,38941.082031,38523.640625,38066.906250,37560.375000,36853.554688,36139.804688,35525.488281,34883.488281,34083.855469,33177.437500,32480.902344,31853.279297,31294.435547,30760.207031,30371.240234,29811.292969,29308.556641,28822.236328
4,ROX,182430.140625,181802.718750,181631.453125,181857.937500,182157.343750,182454.859375,182674.125000,182809.015625,182964.875000,183036.203125,183121.421875,183131.703125,183173.406250,183074.343750,182787.968750,182050.531250,180684.343750,178474.218750,175250.500000,171453.453125,167590.968750,164364.140625,162347.171875,161303.500000,160674.656250,159968.359375,159476.140625,159220.406250,159096.437500,159013.468750,158910.687500,158964.312500,159105.875000,159242.500000,159312.906250,159302.984375,159305.750000,159317.687500,159353.546875,159309.828125,165805.906250,166421.796875,166993.687500,167539.625000,167958.500000,168314.968750,168581.640625,168812.578125,168963.609375,169304.937500,169653.781250,169807.203125,169845.843750,170052.328125,170364.937500,170632.000000,170749.234375,170885.312500,171030.265625,171190.140625,171354.187500,171587.421875,171841.203125,171968.671875,172052.906250,172129.765625,172313.343750,172465.500000,172456.390625,172460.328125,172515.453125,172566.531250,172482.187500,173438.500000,175230.265625,177200.218750,178266.609375,179041.203125,179609.406250,180170.421875,180601.062500,180947.781250,181207.984375,181424.687500,181648.468750,181868.015625,181998.109375,182174.031250,182187.031250,182317.906250,182359.859375,182503.453125,182402.421875,182270.750000,182152.859375,182091.359375,181954.109375,181805.812500,181692.437500,181716.531250,181803.468750,181835.781250,181708.234375,181683.875000,181706.093750,181847.093750,181894.703125,181946.859375,181908.343750,182055.921875,182385.015625,183277.453125,185136.093750,187788.890625,189863.671875,189291.718750,186440.656250,183485.062500,181942.875000,181310.890625,180971.921875,180847.812500,180629.734375,180218.000000,179850.531250,179537.140625,179481.593750,179431.906250,179391.890625,179262.343750,179171.718750,179056.437500,178900.578125,178769.875000,178733.375000,178724.031250,178708.312500,178624.031250,178423.718750,178260.203125,178146.937500,177876.343750,177238.656250
4,SYBR,113687.500000,113153.843750,112790.546875,112749.578125,112879.140625,113091.218750,113160.515625,113274.406250,113601.039063,114402.539063,116042.968750,119624.031250,126679.179688,140344.250000,166025.031250,212666.375000,291531.343750,410285.500000,561980.687500,721569.312500,858518.250000,956842.125000,1018467.250000,1055218.750000,1076782.750000,1089877.750000,1097615.250000,1102757.750000,1105882.750000,1107782.250000,1108271.750000,1107811.375000,1106905.125000,1105513.625000,1103867.125000,1102112.125000,1100707.000000,1098914.750000,1096836.500000,1095078.250000,1023420.687500,988195.375000,959859.375000,939094.625000,922782.750000,909650.625000,898825.250000,889391.812500,880677.937500,872399.312500,865318.000000,858753.375000,852216.625000,845173.000000,838410.812500,831880.562500,825202.000000,818476.250000,811998.937500,805977.937500,799541.562500,792807.125000,785863.375000,779279.125000,772636.937500,766165.937500,759704.687500,753186.500000,746580.625000,739678.250000,732698.062500,725936.125000,719602.750000,713740.437500,708010.000000,702157.125000,696400.625000,690697.000000,685269.687500,679454.187500,673793.500000,668001.687500,662164.375000,656286.187500,650444.187500,644601.750000,638954.312500,633407.375000,627659.937500,621615.250000,615822.187500,610446.250000,605055.875000,599648.187500,593988.625000,588246.875000,582418.062500,576696.812500,571156.687500,565720.187500,559931.937500,554011.187500,548177.812500,542323.375000,536264.000000,530042.375000,523861.812500,517426.437500,510245.343750,500828.468750,487020.031250,464339.781250,425198.750000,361454.031250,274527.656250,186957.515625,124870.351563,95010.859375,83308.250000,76886.437500,71166.695313,64934.796875,58157.617188,52160.281250,48233.492188,46752.562500,46289.937500,45916.746094,45389.644531,44711.527344,43973.531250,43146.578125,42279.062500,41244.828125,40091.937500,38889.652344,37854.148438,36996.640625,36459.796875,36021.195313,35446.402344,34812.117188,34366.871094
5,ROX,203195.437500,201481.953125,200656.687500,200768.140625,201017.953125,201318.515625,201575.484375,201899.468750,202116.109375,202181.140625,202253.484375,202282.562500,202204.953125,201972.265625,201583.453125,200786.625000,199132.468750,196495.140625,193032.343750,188800.046875,184739.343750,181582.812500,179446.906250,177900.062500,176915.328125,176162.000000,175604.328125,175173.437500,175072.312500,174871.593750,174907.625000,174836.046875,174919.843750,175009.390625,175144.906250,175118.843750,175064.609375,175166.421875,175392.406250,175665.718750,182713.734375,183682.390625,184432.171875,184926.703125,185206.734375,185625.046875,186032.234375,186444.984375,186658.046875,187051.359375,187381.875000,187681.750000,187784.828125,188051.578125,188401.468750,188814.843750,189073.031250,189177.312500,189337.890625,189567.687500,189861.000000,190174.625000,190473.171875,190805.218750,190945.062500,191210.187500,191306.890625,191578.484375,191832.984375,192255.921875,192411.828125,192488.734375,192542.656250,192740.109375,192882.843750,192975.656250,193191.234375,193453.609375,193684.093750,193788.812500,193911.328125,193936.531250,194069.625000,194260.375000,194515.406250,194615.937500,194676.218750,194827.000000,194908.843750,194961.750000,194962.546875,195020.468750,195069.812500,195090.265625,195177.656250,195280.343750,195414.656250,195561.968750,195611.343750,195606.984375,195577.890625,195718.953125,195772.218750,195718.234375,195684.609375,195780.656250,195798.859375,195820.031250,195958.156250,196236.359375,196671.234375,197611.265625,199499.500000,202255.234375,204458.750000,203820.546875,201803.328125,200543.609375,201115.796875,201631.515625,202122.828125,202634.812500,203292.390625,203680.421875,203791.312500,203718.156250,203711.140625,203715.328125,203564.390625,203263.765625,202853.437500,202474.906250,202162.875000,201900.890625,201675.687500,201475.296875,201114.171875,200666.921875,200129.203125,199628.640625,199359.375000,198437.453125,196388.609375
5,SYBR,136688.312500,134002.859375,132413.984375,131860.734375,131684.984375,131628.984375,131654.562500,131825.578125,132332.640625,133466.156250,135566.187500,139688.546875,147757.062500,163360.078125,192717.968750,245739.078125,334937.187500,467614.437500,634486.062500,807797.625000,955103.312500,1060039.625000,1125897.125000,1164840.750000,1187642.125000,1201792.875000,1211326.625000,1217109.375000,1219862.750000,1221290.250000,1222071.625000,1222089.750000,1220862.625000,1218951.250000,1216816.250000,1214706.250000,1212441.000000,1209538.625000,1206597.875000,1204143.875000,1129274.000000,1091658.375000,1061030.750000,1038269.500000,1021001.437500,1007031.187500,995807.250000,985970.375000,977293.562500,968848.750000,960921.375000,953332.750000,946033.937500,938735.250000,931547.750000,924407.187500,917471.187500,910693.000000,904031.375000,897166.312500,890310.250000,883471.250000,876648.437500,869523.187500,862750.812500,856021.062500,849240.000000,842210.000000,835252.250000,828162.812500,821455.625000,815177.000000,808620.250000,801398.000000,794174.250000,787249.625000,780642.500000,774128.875000,767623.562500,761045.125000,754647.875000,748134.562500,741633.500000,735127.625000,728468.187500,721837.000000,715310.625000,708736.375000,702034.625000,695483.500000,688868.437500,682154.250000,675481.750000,669078.812500,662678.187500,656032.687500,649582.187500,643185.875000,636684.437500,629944.375000,623117.875000,616295.250000,609625.875000,603153.562500,596444.000000,589355.750000,582326.312500,575149.000000,567381.000000,557063.437500,542371.625000,518575.718750,479079.500000,414057.593750,324106.500000,233727.781250,171589.453125,143365.187500,132193.687500,125671.460938,120046.046875,114067.664063,107385.851563,101228.898438,97102.570313,94907.234375,93228.578125,91477.656250,89639.242188,87834.320313,85974.789063,84217.203125,82159.429688,79965.929688,77149.468750,73358.789063,68379.304688,63018.429688,57793.992188,53344.109375,48068.945313,42983.367188,38693.976563
