Well,Dye Name,Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Reading 11,Reading 12,Reading 13,Reading 14,Reading 15,Reading 16,Reading 17,Reading 18,Reading 19,Reading 20,Reading 21,Reading 22,Reading 23,Reading 24,Reading 25,Reading 26,Reading 27,Reading 28,Reading 29,Reading 30,Reading 31,Reading 32,Reading 33,Reading 34,Reading 35,Reading 36,Reading 37,Reading 38,Reading 39,Reading 40,Reading 41,Reading 42,Reading 43,Reading 44,Reading 45,Reading 46,Reading 47,Reading 48,Reading 49,Reading 50,Reading 51,Reading 52,Reading 53,Reading 54,Reading 55,Reading 56,Reading 57,Reading 58,Reading 59,Reading 60,Reading 61,Reading 62,Reading 63,Reading 64,Reading 65,Reading 66,Reading 67,Reading 68,Reading 69,Reading 70,Reading 71,Reading 72,Reading 73,Reading 74,Reading 75,Reading 76,Reading 77,Reading 78,Reading 79,Reading 80,Reading 81,Reading 82,Reading 83,Reading 84,Reading 85,Reading 86,Reading 87,Reading 88,Reading 89,Reading 90,Reading 91,Reading 92,Reading 93,Reading 94,Reading 95,Reading 96,Reading 97,Reading 98,Reading 99,Reading 100,Reading 101,Reading 102,Reading 103,Reading 104,Reading 105,Reading 106,Reading 107,Reading 108,Reading 109,Reading 110,Reading 111,Reading 112,Reading 113,Reading 114,Reading 115,Reading 116,Reading 117,Reading 118,Reading 119,Reading 120,Reading 121,Reading 122,Reading 123,Reading 124,Reading 125,Reading 126,Reading 127,Reading 128,Reading 129,Reading 130,Reading 131,Reading 132,Reading 133,Reading 134,Reading 135,Reading 136,Reading 137,Reading 138,Reading 139,Reading 140,Reading 141,Reading 142,Reading 143,Reading 144
1,ROX,115836.296875,117025.968750,117767.648438,118144.578125,118346.507813,118514.382813,118627.414063,118792.945313,118869.234375,118970.632813,119030.375000,119089.648438,119088.085938,119097.015625,119039.742188,118826.382813,118343.156250,117457.164063,116016.507813,113927.929688,111447.226563,109179.562500,107511.195313,106410.171875,105595.078125,105075.476563,104741.734375,104513.562500,104373.843750,104301.843750,104239.140625,104205.625000,104233.718750,104340.898438,104432.390625,104497.687500,104470.234375,104389.507813,104425.671875,104640.843750,108806.710938,109161.687500,109462.179688,109757.921875,109928.328125,110083.773438,110259.695313,110563.195313,110741.500000,110799.992188,110931.648438,111053.609375,111147.226563,111164.046875,111339.656250,111512.296875,111646.546875,111793.289063,111955.640625,112181.296875,112260.781250,112336.554688,112376.257813,112555.070313,112734.468750,112846.421875,112988.945313,113156.492188,113326.453125,113408.554688,113493.835938,113541.539063,113678.039063,113808.593750,113981.734375,114066.515625,114183.585938,114261.453125,114449.570313,114638.382813,114684.609375,114692.398438,114706.664063,114786.546875,114802.460938,114843.070313,114926.937500,115093.273438,115234.257813,115235.382813,115328.867188,115442.265625,115591.921875,115687.734375,115761.453125,115780.804688,115762.562500,115933.523438,116102.578125,116211.875000,116177.671875,116291.945313,116440.250000,116486.054688,116580.851563,116755.210938,116835.812500,116861.539063,117062.539063,117495.101563,118124.734375,119049.140625,120531.718750,122528.351563,123423.585938,122533.460938,120598.492188,119350.234375,118724.101563,118516.914063,118465.718750,118545.367188,118557.015625,118386.867188,118199.476563,118114.367188,118048.132813,117945.507813,117898.585938,117923.890625,117983.835938,117920.812500,117791.578125,117753.515625,117833.976563,117888.882813,117880.843750,117837.539063,117697.242188,117570.210938,117478.062500,117153.343750,116813.585938,116694.445313
1,SYBR,73572.531250,74202.421875,74599.234375,74833.093750,75055.140625,75218.742188,75340.281250,75448.648438,75593.757813,75902.875000,76558.671875,77954.164063,80707.695313,85971.289063,95861.960938,114211.867188,146991.015625,200499.171875,276938.218750,368025.656250,457102.281250,528613.062500,577421.625000,607218.062500,624828.750000,635331.437500,641843.000000,645879.687500,648394.125000,649879.500000,650785.437500,651216.125000,651195.000000,650589.375000,649709.437500,648753.937500,647891.625000,646932.937500,645789.250000,644454.562500,603488.562500,583640.000000,567511.125000,555600.750000,546360.500000,539030.562500,532947.500000,527676.812500,522800.406250,518449.125000,514278.218750,510420.375000,506625.750000,502931.718750,499028.500000,495163.343750,491662.343750,488069.687500,484527.718750,480717.156250,477200.656250,473741.437500,470528.281250,467262.406250,463869.687500,460327.250000,456684.343750,453190.312500,449918.937500,446755.093750,443666.062500,440616.500000,437351.968750,433989.562500,430625.250000,427457.750000,424232.906250,421008.812500,417580.125000,414150.437500,410745.906250,407309.531250,404072.750000,400807.812500,397452.468750,393782.625000,390407.000000,387336.000000,384246.250000,380945.843750,377624.312500,374561.906250,371638.687500,368403.218750,364830.437500,361305.125000,357943.906250,354555.625000,351116.562500,347808.031250,344508.625000,340932.093750,337172.750000,333640.937500,330154.250000,326443.531250,322803.687500,319026.500000,314339.718750,307835.343750,297751.625000,281320.437500,253969.796875,209625.125000,156082.078125,110066.484375,84336.367188,73213.359375,68669.992188,65519.734375,62573.820313,59320.531250,55848.859375,52992.035156,51292.136719,50309.203125,49466.214844,48745.773438,47996.222656,47087.480469,46079.652344,45182.714844,44194.519531,43004.679688,41439.886719,39416.437500,36840.074219,34251.640625,32015.455078,30244.207031,28532.441406,26645.603516,25521.021484,25727.939453
2,ROX,156056.484375,156641.421875,156978.843750,157125.265625,157276.703125,157524.062500,157683.468750,157678.625000,157670.328125,157681.687500,157735.125000,157716.328125,157598.140625,157323.718750,156835.062500,155925.937500,154309.000000,151826.468750,148808.515625,145848.625000,143370.625000,141637.921875,140399.515625,139552.906250,138927.031250,138578.078125,138381.281250,138107.296875,138003.562500,137851.484375,137982.359375,137976.671875,138030.312500,137985.984375,138031.140625,138134.750000,138149.203125,138138.062500,138097.437500,138191.406250,143859.906250,144303.968750,144701.109375,145033.593750,145327.093750,145538.890625,145640.250000,145788.687500,146047.671875,146339.250000,146449.953125,146559.281250,146711.781250,146914.468750,147072.718750,147220.375000,147387.015625,147616.843750,147892.546875,148142.359375,148290.312500,148457.546875,148595.031250,148773.671875,148955.437500,149166.250000,149349.171875,149384.484375,149593.875000,149841.640625,150048.437500,150088.781250,150110.046875,150239.406250,150272.640625,150392.687500,150525.500000,150735.953125,150837.265625,150845.421875,150894.093750,150933.500000,151055.031250,151035.312500,150978.734375,151044.406250,151231.140625,151324.125000,151279.265625,151274.031250,151406.875000,151557.968750,151579.625000,151544.812500,151616.578125,151727.078125,151792.703125,151847.781250,151883.015625,151845.343750,151829.421875,151886.625000,151877.937500,151972.187500,151968.093750,152090.640625,152122.187500,152292.531250,152431.234375,152718.125000,153252.203125,154154.281250,156084.937500,158671.984375,159500.312500,157738.421875,154510.421875,153120.734375,153188.968750,154053.578125,154287.921875,154494.453125,154640.250000,154505.421875,154197.312500,153903.921875,153815.609375,153588.843750,153439.921875,153269.625000,153097.484375,152862.765625,152651.687500,152448.703125,152224.421875,152134.125000,152030.453125,151808.140625,151576.468750,151436.234375,151233.625000,150825.656250,150306.984375,149773.734375
2,SYBR,88845.195313,89926.031250,90487.773438,90558.312500,90708.218750,90788.312500,90951.468750,91238.226563,91963.242188,93405.070313,96328.335938,102053.835938,113105.132813,134059.968750,171827.578125,234979.593750,328983.500000,447714.812500,571003.125000,676228.250000,752368.750000,801347.187500,831833.750000,850482.250000,862482.375000,869764.062500,874833.187500,878290.375000,880500.312500,881454.000000,881472.437500,881455.687500,881183.312500,880668.062500,879640.312500,878047.062500,876429.625000,875027.812500,873777.562500,872086.375000,813962.250000,786942.125000,764878.125000,748490.625000,735963.812500,725877.062500,717751.500000,710934.062500,704739.500000,698943.125000,693383.937500,687999.875000,682647.812500,677280.625000,671982.312500,666736.375000,662112.562500,657378.750000,652421.812500,647173.750000,642442.437500,637531.000000,632591.125000,627638.062500,622939.750000,618109.250000,613023.000000,608263.750000,603328.875000,598587.437500,593592.125000,588896.875000,584355.312500,579474.187500,574589.625000,569605.750000,564847.937500,559831.125000,554676.500000,549940.812500,545105.625000,540408.875000,535438.062500,530779.375000,526158.562500,521528.093750,516704.406250,511793.937500,507052.875000,502515.531250,498049.437500,493585.937500,489292.406250,484765.531250,479937.531250,475206.781250,470629.250000,465761.562500,460756.781250,456049.812500,451469.406250,446561.156250,441703.750000,436887.656250,432188.062500,427224.781250,422367.500000,417036.000000,410484.062500,401668.531250,388049.062500,366013.718750,328979.375000,268288.062500,195621.625000,133945.375000,100006.851563,84887.062500,77862.367188,72619.421875,68120.023438,63613.960938,58525.140625,54229.265625,51813.894531,50883.789063,50170.679688,49605.378906,48894.855469,47870.152344,46490.968750,44971.347656,43509.992188,41849.546875,40132.523438,38229.800781,36632.250000,35229.339844,34299.605469,33583.593750,33098.136719,32308.296875,31989.134766,32487.800781
3,ROX,164193.234375,163551.171875,163173.687500,163212.671875,163432.031250,163644.906250,163752.890625,163895.953125,164102.093750,164304.093750,164360.343750,164183.312500,163870.921875,163421.234375,162708.390625,161257.046875,158933.015625,155830.250000,152578.781250,149598.000000,147258.843750,145627.031250,144691.437500,144125.859375,143579.109375,143127.359375,142909.609375,142852.812500,142755.265625,142666.031250,142573.343750,142516.078125,142560.578125,142702.921875,142769.296875,142738.812500,142693.562500,142681.687500,142754.250000,142914.953125,148482.468750,149233.750000,149636.468750,149798.390625,150075.875000,150445.421875,150761.250000,150964.500000,151125.625000,151273.421875,151381.484375,151587.906250,151747.921875,151936.828125,152142.343750,152396.156250,152523.031250,152734.359375,152974.281250,153172.906250,153321.734375,153579.812500,153882.750000,154093.875000,154254.015625,154405.875000,154540.515625,154750.843750,154993.812500,155099.875000,155202.906250,155306.875000,155536.031250,155691.609375,155841.703125,156001.843750,156100.140625,156125.437500,156164.937500,156193.718750,156311.015625,156409.687500,156613.125000,156737.390625,156830.046875,156819.406250,156715.890625,156736.718750,156851.906250,156937.015625,157001.875000,157137.921875,157358.125000,157459.218750,157492.875000,157500.640625,157545.843750,157664.156250,157838.578125,158104.328125,158079.296875,158023.781250,158040.375000,158183.375000,158247.531250,158227.812500,158194.406250,158159.062500,158283.890625,158400.203125,158755.703125,159350.109375,161769.281250,165796.140625,168764.203125,168550.281250,166037.812500,164048.453125,162987.562500,162810.000000,162683.109375,162723.593750,162756.046875,162563.406250,162200.359375,161896.359375,161664.921875,161513.140625,161305.687500,161056.546875,160694.468750,160363.218750,160068.218750,159877.078125,159728.500000,159414.515625,159111.812500,158851.171875,158720.390625,158577.078125,158387.000000,157956.703125,157377.359375,156800.796875
3,SYBR,107922.195313,108052.640625,108166.328125,108343.015625,108577.140625,108911.156250,109331.554688,110018.890625,111070.015625,113205.273438,117368.406250,125521.265625,140700.750000,168871.375000,218273.062500,297616.625000,408538.437500,537750.812500,661225.437500,758902.437500,825416.562500,866546.000000,890797.750000,905331.000000,914513.625000,920707.437500,924567.437500,926988.312500,927979.125000,928192.312500,928040.437500,927727.187500,926779.375000,925163.437500,923524.250000,921632.750000,920236.375000,918433.187500,916345.062500,913801.937500,854410.125000,825675.750000,802367.312500,785390.875000,772170.125000,761225.875000,752273.750000,744814.125000,738233.687500,732150.750000,726457.312500,720573.625000,714977.812500,709700.375000,704240.812500,698730.500000,693657.125000,688512.937500,683325.375000,678138.125000,673383.750000,668224.750000,662949.937500,657540.375000,652450.375000,647539.125000,642532.812500,637331.125000,632118.750000,627154.437500,622109.687500,616998.875000,612136.562500,607399.562500,602646.562500,597158.937500,591672.625000,586535.812500,581708.750000,577065.437500,572073.437500,567081.312500,561637.187500,556468.750000,551572.250000,546814.125000,541949.437500,537140.875000,532241.625000,527313.875000,522455.093750,517794.875000,512951.062500,508169.187500,503299.250000,498467.531250,493647.062500,488889.093750,484036.406250,478841.218750,474043.437500,469266.750000,464483.125000,459405.156250,454305.062500,449206.000000,444086.531250,438568.687500,431871.406250,423702.343750,411391.500000,391101.750000,358912.031250,303404.843750,229492.593750,156190.250000,108607.531250,85274.421875,76250.429688,71291.828125,67115.109375,62532.898438,57282.144531,52469.496094,49578.582031,48252.957031,47540.613281,46679.121094,45851.136719,44684.093750,43400.187500,42015.714844,40722.625000,39314.332031,37731.347656,36246.644531,34865.578125,33770.906250,32808.058594,32097.054688,31610.015625,30916.134766,30779.150391,31606.177734
4,ROX,191895.515625,190747.140625,190365.312500,190640.187500,190987.828125,191246.921875,191457.500000,191643.578125,191804.859375,191887.828125,191994.531250,192069.593750,192079.703125,191901.718750,191513.859375,190715.968750,189356.421875,187086.500000,183845.171875,179820.546875,176141.046875,173308.296875,171299.828125,169712.703125,168546.328125,168094.562500,167707.062500,167405.234375,167053.406250,166956.609375,166909.359375,166905.031250,166886.765625,166807.281250,166916.125000,166892.734375,166969.625000,166905.203125,166998.656250,166996.453125,173430.546875,173902.015625,174482.625000,175148.234375,175659.843750,175934.328125,176015.828125,176208.234375,176445.234375,176835.421875,177092.171875,177393.625000,177495.140625,177652.781250,177770.296875,178025.781250,178208.234375,178485.093750,178699.859375,178936.375000,179250.453125,179504.656250,179527.812500,179661.906250,179935.031250,180221.140625,180426.437500,180681.015625,180881.875000,181057.156250,181185.796875,181295.062500,181368.343750,181596.703125,181825.343750,182117.468750,182201.640625,182208.515625,182240.687500,182285.781250,182327.718750,182259.625000,182296.625000,182076.875000,182915.703125,184344.812500,186024.390625,186978.406250,187950.843750,188714.343750,189316.156250,189854.390625,190319.078125,190557.750000,190748.640625,190803.000000,190872.375000,190913.328125,191041.109375,191021.265625,191028.937500,190966.640625,190876.078125,190689.750000,190616.218750,190535.625000,190487.890625,190511.171875,190649.609375,190739.593750,191119.328125,191943.250000,193594.015625,196748.953125,198863.343750,198248.062500,194771.453125,192112.031250,190725.265625,190276.312500,189902.140625,189631.421875,189450.343750,189004.046875,188404.718750,187988.656250,187796.984375,187668.359375,187467.765625,187270.968750,187090.937500,187011.218750,186925.468750,186799.125000,186523.343750,186417.468750,186327.140625,186318.453125,186140.406250,185953.671875,185774.765625,185497.578125,185081.750000,184564.781250
4,SYBR,115178.921875,114522.882813,114340.046875,114509.531250,114741.023438,114967.960938,115293.687500,115692.546875,116130.570313,116893.515625,118614.328125,122446.468750,129870.632813,144177.171875,171097.656250,219847.093750,301751.687500,423904.218750,577847.875000,737542.187500,873237.062500,970304.687500,1032029.500000,1069114.375000,1090928.375000,1103574.625000,1112009.250000,1117506.250000,1120952.625000,1122582.250000,1123399.500000,1123515.750000,1122735.875000,1121272.000000,1119044.500000,1117215.625000,1115318.750000,1113032.250000,1110580.500000,1108968.750000,1038194.750000,1004141.687500,975977.250000,954711.125000,938110.500000,924821.750000,913925.437500,904576.375000,896326.687500,888370.500000,880816.187500,873511.875000,866863.562500,860099.812500,853155.750000,846342.875000,840040.562500,833763.375000,827159.812500,820443.187500,814006.062500,807485.312500,801074.937500,794434.500000,787975.437500,781484.625000,775122.250000,768886.250000,762818.000000,756570.875000,750208.500000,743915.062500,738090.562500,731658.625000,725241.125000,718676.000000,712462.750000,706144.062500,699617.000000,693111.312500,686229.125000,679341.875000,672199.062500,665420.125000,659080.437500,653152.500000,647357.000000,641844.875000,636145.937500,630370.312500,624420.187500,618864.125000,613556.062500,608130.250000,602367.187500,596473.562500,590695.875000,585074.625000,579527.500000,573952.500000,568071.187500,561990.125000,556153.062500,550437.875000,544558.937500,538373.625000,532242.125000,525670.312500,518054.218750,508526.218750,494503.875000,471324.281250,434005.625000,367836.500000,278998.343750,191136.359375,134215.500000,106047.750000,93492.460938,84928.953125,77392.968750,69966.203125,61580.960938,53918.082031,49394.113281,47676.601563,47100.632813,46585.707031,46176.726563,45485.265625,44615.472656,43722.812500,42715.500000,41636.609375,40546.839844,39356.109375,38211.312500,37335.386719,36787.609375,36385.144531,36110.593750,35456.046875,35220.359375,36121.246094
5,ROX,205175.921875,203613.203125,202995.062500,203229.296875,203669.421875,204102.531250,204429.093750,204604.531250,204729.781250,204806.218750,204898.359375,204941.312500,204882.390625,204630.421875,203979.375000,202753.781250,200699.250000,197709.375000,193757.328125,189785.953125,186321.750000,183803.250000,181771.437500,180696.687500,179955.875000,179401.218750,178819.062500,178609.562500,178546.031250,178435.781250,178341.421875,178326.250000,178357.593750,178384.906250,178510.687500,178450.437500,178513.546875,178488.125000,178545.859375,178378.593750,185775.093750,186562.765625,187298.328125,187882.109375,188358.343750,188751.062500,189066.468750,189389.281250,189558.937500,189770.625000,189897.921875,190162.187500,190450.921875,190798.046875,191223.937500,191488.312500,191613.187500,191748.046875,192030.625000,192454.406250,192632.359375,192883.062500,193046.234375,193242.812500,193463.890625,193698.359375,193967.609375,194062.546875,194253.250000,194382.453125,194516.296875,194685.046875,194936.968750,195235.156250,195443.140625,195689.343750,195952.218750,196210.562500,196361.718750,196391.562500,196369.328125,196342.687500,196472.937500,196635.640625,196700.906250,196813.406250,196858.312500,197003.343750,197032.203125,197134.906250,197197.953125,197333.578125,197361.484375,197371.250000,197243.046875,197259.531250,197328.781250,197618.609375,197702.703125,197755.171875,197741.125000,197797.437500,197805.546875,197876.390625,197958.796875,198023.796875,197916.640625,197839.890625,197763.031250,197827.812500,198052.640625,198486.000000,200748.046875,205609.421875,209884.031250,210553.828125,208187.578125,206414.031250,205789.171875,206084.140625,206359.812500,206627.328125,206696.531250,206464.843750,205917.921875,205392.234375,205117.859375,204950.343750,204714.234375,204423.953125,204087.156250,203747.734375,203350.093750,203033.843750,202688.562500,202328.015625,202106.906250,201878.093750,201502.937500,200746.468750,200046.609375,198977.796875,197640.937500,196056.421875
5,SYBR,146982.078125,145145.906250,144019.203125,143594.593750,143455.093750,143624.531250,143932.109375,144174.671875,144721.968750,146278.828125,149378.281250,155215.281250,166359.343750,188074.421875,227961.484375,297204.875000,406021.781250,553790.062500,720209.187500,873689.687500,991021.000000,1068736.250000,1116735.500000,1145496.125000,1162964.000000,1174434.500000,1182031.750000,1186260.000000,1188334.125000,1189893.375000,1190423.500000,1189667.500000,1188264.625000,1186472.500000,1184622.750000,1182462.000000,1179868.500000,1177461.000000,1175510.750000,1173851.875000,1102380.500000,1067023.500000,1037232.187500,1014750.750000,997664.625000,984124.500000,972914.875000,963117.125000,954647.625000,946787.000000,939665.687500,932200.187500,925080.375000,917805.750000,910716.437500,903658.625000,897038.187500,890384.062500,883789.375000,876971.187500,870358.125000,863544.250000,857046.125000,850357.875000,843631.062500,836955.812500,830306.812500,824026.312500,817480.625000,811256.812500,804938.375000,798756.750000,792282.875000,785644.437500,779045.062500,772540.312500,766238.687500,760098.187500,753737.500000,747155.375000,740410.125000,733833.437500,727302.750000,720444.312500,713996.937500,707450.000000,701228.500000,694896.625000,688730.000000,682170.125000,675803.562500,669806.812500,663952.812500,657698.187500,651530.875000,645282.812500,638877.437500,632204.125000,625687.187500,619297.812500,612846.875000,606291.250000,599816.250000,593583.625000,587115.625000,580391.437500,573702.125000,566705.312500,558532.812500,548441.812500,533878.937500,512018.343750,478388.906250,418609.781250,335431.625000,253026.375000,200896.234375,176598.000000,165926.171875,157902.515625,150449.250000,142703.156250,134530.984375,127328.851563,122613.757813,119925.109375,117595.757813,115069.468750,112699.101563,110376.156250,107880.375000,105343.742188,102734.593750,99694.796875,95706.062500,90530.812500,83998.937500,77202.132813,70857.101563,65592.679688,60769.617188,54977.496094,50912.031250,50487.437500
