AT103	26
ESI3	84
ETR1	120
Era	380
HAGH1	196
IAP75	3181
ICFG	635
Sac1	431
aat	43
abfB	134
accA	436
accB	767
accC	802
accD	913
ackA	335
acp	2573
acs	2504
act	247
adk	1129
agp	2482
ahcY	7114
alaS	905
alr	1356
ama	640
amiA	3308
amiC	15959
ams1	1056
amt1	8339
amt2	436
amt3	257
ank	353
apcA	43370
apcB	39092
apcC	7456
apcD	2947
apcE	40809
apcF	3443
ape2	845
apqZ	2521
apt	197
arcC	451
argB	284
argC	2649
argD	972
argF	478
argG	1454
argH	510
argJ	1588
argS	779
aroA	658
aroB	299
aroC	679
aroE	224
aroH	426
aroK	104
aroQ	507
arsA	56
arsC	34
asd	1672
aslB	488
asnS	530
aspA	1503
aspC	1590
aspS	2368
atp1	12071
atpA	12913
atpB	10316
atpC	6553
atpD	2523
atpE	2368
atpF	2073
atpG	3346
atpH	4374
atpI	15162
bchB	39
bchE	148
bcp	947
bfr	2104
bgl	324
bhy	1052
bioB	1217
bioF	11931
bioY	728
birA	829
blaOXA-3	101
braG or livF	322
brkB	197
btpA	445
bvdR	230
cad	193
capA	25
carA	1033
carB	2559
cbaB	373
cbbA	15165
cbbZp	124
cbiA	609
cbiB	157
cbiC	212
cbiD	301
cbiE	122
cbiF	250
cbiH	622
cbiL	37
cbiM	998
cbiP	460
cbiT	233
ccmA	4701
ccmK	9101
ccmL	930
ccmM	5793
ccmN	930
ccsA	1016
cdsA	1188
cefD	210
cfxE	1845
chlB	9457
chlD	790
chlG	948
chlH	6186
chlI	949
chlL	6248
chlM	513
chlN	2454
chrA	141
citH	879
clcD	251
clpB	2433
clpC	9579
clpP	8023
clpX	1424
cmpA	5
cmpB	17
cmpR	43
cobA	315
cobN	423
cobU	42
cobW	192
codA	114
comEc	284
cpcA	138092
cpcB	116622
cpcC	60183
cpcD	6046
cpcE	251
cpcF	132
cpcG	29701
crtE	934
crtO	270
crtQ	136
crtX	269
cscK	154
csgA	180
ctaB	1916
ctaC	1837
ctaD	3873
ctaE	966
ctpA	1321
ctpB	1989
cyaA	1271
cydA	787
cydB	472
cynS	259
cyp	983
cysA	224
cysC	508
cysE	368
cysG	202
cysH	768
cysK	361
cysM	339
cysQ	289
cysS	902
cysT	32
cysW	51
cytM	545
dacB	2729
dapA	1378
dapB	241
dapF	1308
dcoH	214
dctP	323
ddh	546
ddlA	333
deaD	9770
def	849
degT	1252
deoC	394
desA	3293
desB	336
desC(des9)	7206
desD(des6)	2187
devB	223
dfp	525
dfr	818
dfrA	384
dgkA	786
dgt	107
divK	177
dnaA	242
dnaB	301
dnaE	1479
dnaG	176
dnaJ	1651
dnaK	15665
dnaN	571
dnaX	550
dnaX and dnaZ	67
dpm1	326
drgA	1420
dsbD	486
eda	182
efp	923
eno	1494
entC	1278
envM	350
epsB	5718
erg6	439
exbB	843
exoD	380
exsB	309
fabD	460
fabF	4320
fabG	841
fabH	347
fabZ	323
fbp	1114
fda	310
fecB	236
fecC	98
fecD	76
fecE	165
feoB	1282
ffh	494
fhuA	526
fmt	243
fmu/fmv	1092
folC	302
folD	350
folE	924
folK	166
folP	133
fraH	350
frdA	773
frpC	11868
frr	434
ftrC	297
ftrV	419
ftsH	19213
ftsI	2505
ftsY	1533
ftsZ	5742
fumC	165
fur	397
fus	18012
gabD	1309
gad	1058
galE	1395
gap1	512
gap2	7267
gcp	193
gcpE	871
gcvH	153
gcvP	1262
