gene_id,description,function_group,group_name,function_subgroup,subgroup_name
sll0084,putative phosphatase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll0109,chorismate mutase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll0356,N-(5'-phosphoribosyl)anthranilate isomerase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll0900,ATP phosphoribosyltransferase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1112,3-dehydroquinate dehydratase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1662,probable prephenate dehydratase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1669,shikimate kinase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1713,histidinol-phosphate aminotransferase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1747,chorismate synthase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1893,cyclase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll1958,histidinol phosphate aminotransferase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0055,anthranilate synthase component II,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0084,amidotransferase HisH,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0444,3-phosphoshikimate 1-carboxyvinyltransferase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0500,imidazoleglycerol-phosphate dehydratase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0543,tryptophan synthase beta subunit,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0546,indole-3-glycerol phosphate synthase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0608,histidine biosynthesis bifunctional protein HisIE,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0652,phosphorybosilformimino-5-amino- phosphorybosil-4-imidazolecarboxamideisomerase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0682,histidinol dehydrogenase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0738,anthranilate synthetase alpha-subunit,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr0966,tryptophan synthase alpha chain,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr1559,shikimate 5-dehydrogenase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr1848,histidinol dehydrogenase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr1867,anthranilate phosphoribosyltransferase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr1979,anthranilate synthase component I,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr2081,prephenate dehydrogenase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
slr2130,3-dehydroquinate synthase,A,Amino acid biosynthesis,A1,Aromatic amino acid family
sll0006,putative aminotransferase,A,Amino acid biosynthesis,A2,Aspartate family
sll0402,aspartate aminotransferase,A,Amino acid biosynthesis,A2,Aspartate family
sll0455,homoserine dehydrogenase,A,Amino acid biosynthesis,A2,Aspartate family
sll1058,dihydrodipicolinate reductase,A,Amino acid biosynthesis,A2,Aspartate family
sll1172,threonine synthase,A,Amino acid biosynthesis,A2,Aspartate family
sll1688,threonine synthase,A,Amino acid biosynthesis,A2,Aspartate family
sll1760,homoserine kinase,A,Amino acid biosynthesis,A2,Aspartate family
slr0036,aspartate aminotransferase,A,Amino acid biosynthesis,A2,Aspartate family
slr0212,5-methyltetrahydrofolate--homocysteine methyltransferase,A,Amino acid biosynthesis,A2,Aspartate family
slr0549,aspartate beta-semialdehyde dehydrogenese,A,Amino acid biosynthesis,A2,Aspartate family
slr0550,dihydrodipicolinate synthase,A,Amino acid biosynthesis,A2,Aspartate family
slr1665,diaminopimelate epimerase,A,Amino acid biosynthesis,A2,Aspartate family
sll0065,acetolactate synthase small subunit,A,Amino acid biosynthesis,A3,Branched chain family
sll0504,diaminopimelate decarboxylase,A,Amino acid biosynthesis,A3,Branched chain family
sll1363,ketol-acid reductoisomerase,A,Amino acid biosynthesis,A3,Branched chain family
sll1444,3-isopropylmalate dehydratase small subunit,A,Amino acid biosynthesis,A3,Branched chain family
sll1470,3-isopropylmalate dehydratase large subunit,A,Amino acid biosynthesis,A3,Branched chain family
sll1564,putative lyase,A,Amino acid biosynthesis,A3,Branched chain family
sll1981,acetolactate synthase,A,Amino acid biosynthesis,A3,Branched chain family
slr0032,probable branched-chain amino acid aminotransferase,A,Amino acid biosynthesis,A3,Branched chain family
slr0186,2-isopropylmalate synthase,A,Amino acid biosynthesis,A3,Branched chain family
slr0452,dihydroxyacid dehydratase,A,Amino acid biosynthesis,A3,Branched chain family
slr1517,3-isopropylmalate dehydrogenase,A,Amino acid biosynthesis,A3,Branched chain family
slr2072,L-threonine deaminase,A,Amino acid biosynthesis,A3,Branched chain family
slr2088,acetohydroxy acid synthase,A,Amino acid biosynthesis,A3,Branched chain family
sll0080,N-acetyl-gamma-glutamyl-phosphate reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0100,N-acyl-L-amino acid amidohydrolase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0373,gamma-glutamyl phosphate reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0450,cytochrome b subunit of nitric oxide reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0461,gamma-glutamyl phosphate reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0601,nitrilase homolog,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0704,cysteine desulfurase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0784,nitrilase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0902,ornithine carbamoyltransferase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll1027,NADH-dependent glutamate synthase small subunit,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll1454,ferredoxin-nitrate reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll1499,ferredoxin-dependent glutamate synthase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll1502,NADH-dependent glutamate synthase large subunit,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll1883,arginine biosynthesis bifunctional protein ArgJ,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0077,cysteine desulfurase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0288,glutamate--ammonia ligase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0387,cysteine desulfurase NifS,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0395,"nitrate assimilation transcriptional activator, LysR family protein",A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0585,argininosuccinate synthetase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
